adm0_name,iso3,X,Y,published,sources,info,optional1,optional2,optional3,ObjectId
Saint Pierre et Miquelon,SPM,-56.321676,46.855208,29.06.2020,[https://www.gov.uk/foreign-travel-advice/st-pierre-and-miquelon],"*****International Restrictions:
St Pierre & Miquelon is a Territorial Collective (Collectivité Territoriale d’Outre-mer) of France.

*****Internal Restrictions:
There are local travel restrictions in place in St Pierre & Miquelon. The French Government outlined new measures on 16 March to stem the spread of coronavirus, which also apply to the French Overseas Territories. This included confining people to their homes except for outings for specific purposes effective from midday 17 March 2020. The local Prefecture website will have details of any further local restriction.
To enter the French Overseas Territories, you will need to complete a travel certificate. There are different certificates for travel from mainland France to French overseas territories [https://www.interieur.gouv.fr/Actualites/L-actu-du-Ministere/Attestation-de-deplacement-et-de-voyage] or international travel from abroad to French overseas territories [https://www.interieur.gouv.fr/Actualites/L-actu-du-Ministere/Attestation-de-deplacement-et-de-voyage]. Make sure you complete the travel certificate before you travel, so you can show it to French border authorities on entry and, where appropriate, travel companies prior to boarding. You must carry a physical copy of the declaration; electronic versions will not be accepted. You are able to produce a handwritten copy of the text if you do not have access to a printed form.
",20200629,,,79
Saint Vincent and the Grenadines,VCT,-61.189064,13.251505,17.07.2020,"[https://bb.usembassy.gov/u-s-citizen-services/covid-19-information/]
[https://www.gov.uk/foreign-travel-advice/st-vincent-and-the-grenadines]","St Vincent and Grenadines' government may ban flights from the U.S. (Media, 20.07.2020)

*****International Restrictions:
All international flights have been suspended until further notice. The seaports of Bequia, Mustique, Canouan and Union Island have also been closed to yachts and pleasure craft.
As of 1 July 2020, the new entry requirements for all travellers to St Vincent and the Grenadines include:
Completion of a COVID-19 questionnaire; PCR Testing on arrival; Full details of the St Vincent and the Grenadines’ government entry protocol documents listed below can be found here: [http://health.gov.vc/health/index.php/covid-19-protocols-documents?fbclid=IwAR17F8szBN_xBI0-rwiJpE7qKD0YX-1LxoFAqlpmaLgeMzSlE_EfCGKQfwk]. COVID Passenger Risk Assessment Form for Arrival in SVG. Protocol for Quarantine on Yacht. Protocol for the Working Quarantine. Protocol for Travelers to SVG. PCR test Request Form-SVG. After testing on arrival, mandatory 24-hour quarantine (await test results in home or hotel). All travellers will be required to go immediately to their private accommodation site to await the results of the PCR test. Persons going to a government facility will be boarded on agreed appropriate vehicles to await departure. Persons with adequate home facilities (relative to risk assessment) will be allowed to leave. Persons arriving with negative antibody tests results (test done within the last 5 days) and negative PCR result (test within the last 2 days) would not be required to quarantine.

*****Internal Restrictions:
Coronavirus related restrictions have eased in recent weeks, though hygiene measures and physical and social distancing is still recommended. You may still be required to use sanitizer or wear a face mask in some shops or businesses, and to wash your hands at special washing stations before entry. If taking local private minibus transport, you may feel safer wearing a face mask. Not all hotels and private rentals have re-opened or fully re-opened to the public. There are no lockdowns or curfews. Physical distancing, including at weddings and funerals, is still recommended but rarely enforced. Otherwise, the few restrictions that there were (e.g. numbers of people allowed to travel on private minibus taxi services and certain businesses or shops only allowing a set number of people in at any one time) are loosening. The amplified music ban, which impacted social gatherings, has now been lifted. Some shops or businesses may still require customers to wear face masks, or to wash or sanitize hands before entry, or adhere to 3-6 feet space markings when queuing.",20200717,"A mandatory 24-hour quarantine (await PCR test results in home or hotel). Persons arriving with negative antibody tests results (test done within the last 5 days) and negative PCR result (test within the last 2 days) would not be required to quarantine.

A mandatory two-week self-quarantine period for anyone arriving in St Vincent and the Grenadines is being enforced. Quarantine of non-residents will be at the expense of the traveller.","COVID-19 negative certification is required for entering the country. 

Travelers should complete the pre-arrival form at [https://stv.servicedx.com/travelform]. Effective July 1, all passengers arriving in SVG during the month of July will be PCR tested for COVID-19.
Travelers arriving with negative COVID-19 antibody tests results (a test done within 5 days) and a negative rapid COVID-19 antigen test or negative PCR result (a test done within 2 days) will not be required to have a SVG COVID-19 PCR test done on arrival and will not be required to quarantine.

Testing Protocol for travelers meeting the requirement for a SVG COVID-19 PCR test: 
the Port Health Team will collect a nasal swab specimen for a SVG COVID-19 PCR test from all qualifying disembarking travelers. This sample will be collected prior to the traveler being granted permission to leave the Port of Entry. The traveler will then immediately proceed to their place of accommodation for a 24-hour quarantine period while they await the result of the SVG COVID-19 PCR.
All travelers who enter with approved documentation of a negative COVID-19 antibody test done within the past 5 days and a negative COVID-19 PCR test done within 2 days will not need to quarantine. Such a traveler would be required to monitor his/her temperature for the next 14 days and report any elevations to the local health authority.
All travelers who enter with approved documentation of a negative COVID-19 antibody test done within the past 5 – 7 days but a positive SVG COVID-19 PCR test, will be isolated in an approved facility for the next 14 days at the cost of the traveler.
Travelers who arrive without any approved COVID-19 test results may be subject to a rapid COVID-19 antibody along with a PCR specimen collection prior to departing the airport to private accommodation.
Upon entry, all persons will be issued a card containing a COVID-19 hotline number and are required by law to report any symptoms of the virus that may develop after entry and during their stay.
",80
Samoa,WSM,-172.44726,-13.620773,13.07.2020,"[https://www.gov.uk/foreign-travel-advice/samoa]
[https://ws.usembassy.gov/covid-19-information/]","Australia updates its advisory, warns against travel, reports COVID-19, safety, security concerns (ADFAT, 29.06.2020)

*****International restrictions:
Commercial flights to and from Samoa remain very limited. Only permanent residents and essential workers are permitted to enter Samoa at this time. All international cruise ships and yachts will not be granted entry into Samoa. Some countries in the region have also introduced travel restrictions to and from the Pacific islands. You should check specifics for any countries that might be involved in your travel when planning a trip to and/or from Samoa. In this context, all travellers from outside of New Zealand must spend 28 days in New Zealand before onward travel to Samoa and must comply with all requirements. All passengers entering Samoa from New Zealand will be quarantined for 14 days at a designated facility. Travellers from New Zealand are required: to complete the Health Declaration Card in flight; to have a COVID-19 test within three days before arrival; and to undergo a medical examination by a Registered Medical Practitioner within three days before arrival.
You will not be permitted to board the plane if you have a positive COVID-19 test or a COVID-19 test has not been done. Additionally, you will not be allowed to board if you have any of the following symptoms: cough; fever; sore throat; or flu-like symptoms. All travellers are required to present a hard copy of a COVID-19 test and medical report on arrival to health officers. Failure can result in denial of entry, with individuals returned to the point of departure before Samoa. 
Passengers are advised to check in 1 piece of luggage (max 20 kgs) when boarding. If you have any known medical conditions, please ensure you have enough medication to last for 2 months and inform relevant officials on arrival. You are not allowed to bring alcohol into the quarantine site or allowed to consume any alcohol. Passengers who are on special diets will be responsible to pay for their own special dietary needs. You are required to wear a face mask at all times and advised to maintain social distancing in flight.
Whilst in quarantine the cost of accommodation, breakfast and lunch for passengers should be borne by the Samoan Government, but dinner will be the passenger’s responsibility. All children and infants less than 18 years must be accompanied by a parent or legal guardian. Parents must ensure all immunisations are up to date. Parents/legal guardians travelling with children must ensure sufficient supplies of basic needs while in quarantine, e.g. diapers, wipes, formula. A family member must travel with passengers having chronic medical conditions, the elderly and those with special needs. There are penalties if the conditions of the quarantine are breached.

*****Internal restrictions:
A State of Emergency was declared on 20 March. Public transport, including bus and ferry services, have now resumed a normal schedule, apart from on Sundays when no services will operate. Accommodation, including hotels and private rentals, is available in Samoa, though certain requirements may be applicable. The Samoan government announced on 10 June that it was further relaxing restrictions brought in to limit the spread of COVID-19. Under the new restrictions, some gatherings such as church services, village meetings, and non-contact sport events are permitted, with social distancing measures of 2 meters in place. Markets have been allowed to reopen, although street vendors remain prohibited from selling on footpaths. Restaurants and entertainment venues have also been allowed to reopen at reduced capacity, due to social distancing rules. A ban on most gatherings and public activities remains in place on Sundays.",20200713,You will be quarantined for 14 days upon arrival into Samoa at a designated location. ,"COVID-19 negative certification required for entering the country. 

Arriving citizens and residents must show that a COVID-19 test has been done within three days before departure for Samoa.",81
San Marino,SMR,12.46329,43.938418,29.06.2020,[https://www.gov.uk/foreign-travel-advice/san-marino/staying-during-coronavirus],"*****International Restrictions:
Entry into San Marino is through Italy. It is possible to travel through Italy. For those coming from countries other than European Union member states, countries that are parties to the Schengen Agreement, United Kingdom, Andorra, Monaco, Vatican City State and the Republic of San Marino, the transit in Italy is allowed only to reach the final destination within the shortest delay, after reporting it to the Prevention Department of the Italian Health service at the place of entry on the national territory. In case of airport transit, it is not necessary to inform the Prevention Department, at the condition to remain inside the airport area until the next flight connection.

*****Internal Restrictions
There are no longer any Covid-19 related restrictions on entry into San Marino, although all visitors must comply with social distancing and sanitisation regulations.",20200629,"There are no longer any Covid-19 related restrictions on entry into San Marino, although all visitors must comply with social distancing and sanitisation regulations.",,82
Sao Tome and Principe,STP,6.602138,0.239483,22.06.2020,"[https://www.osac.gov/Content/Report/b5fac3cb-64a0-4acc-8b6c-18d3b4a959d7]
[https://ga.usembassy.gov/covid-19-information/]
[https://www.gov.uk/foreign-travel-advice/sao-tome-and-principe/entry-requirements]
[https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening]","Suspension of international and domestic flights except for special humanitarian flights.

*****International restrictions:
Inbound and outbound commercial and charter passenger flights are suspended until further notice, Cargo flights continue operating normally. Nationals and non-national residents who return to the country are subject to mandatory home quarantine accompanied by health agents and police forces upon arrival. The docking of cruise ships at the country’s ports is also suspended. The suspension of all sea and air connections include movements between all the islands of Sao Tome and Principe - except for the health emergency services.
All travellers will be checked upon arrival and authorities will quarantine any traveller presenting fever or similar infection symptoms.

*****Internal restrictions:
On June 12, the government of São Tomé and Príncipe announced a three-phase plan for reopening. The plan has three phases:
---Phase 1 – June 16-30:
The mandatory curfew is no longer in effect.
Repatriation flights for Sao Tomean nationals and foreign residents of Sao Tome may resume.
Bakeries, gas stations and pharmacies may operate from 6:00 am until 6:00 pm.
Markets may operate Monday through Saturday from 5:00 am until 3:00 pm.
Restaurants and cafes may operate from 7:00 am until 4:00 pm with half the usual capacity and a maximum of 4 people per table from the same group or family respecting general health rules. Restaurants and cafes may offer takeout services from 4:00 pm until 10:00 pm.
Most other commercial enterprises such as banks and communication companies may operate between 7:30 am to 3:00 pm.
Government offices will operate from 7:30 am to 1:00 pm with reduced staffing.
Churches and other religious entities may open at one third of their usual capacity, respecting general health rules. 

---Phase 2 – July 1 to 15:
Air travel will partially resume, allowing flights from member states of the Community of Portuguese Language Countries.
Hotels, guest houses, and casinos may reopen subject to regulations put in place by the Ministry of Tourism.
Restaurants and cafes may operate during usual operating hours with half the usual capacity and a maximum of 4 people per table from the same group or family respecting general health rules.
Private businesses (except for bars and clubs) and government offices may resume normal staffing and operations.
Some higher education facilities will reopen with limits of 20 students per class.
Museums, theaters, cultural exhibitions, and libraries may reopen.
Meetings and lectures may resume at 50% capacity for the space where the event occurs.
Churches and other religious entities may open at one half of their usual capacity, respecting general health rules.
Visits to hospitalized patients (excluding COVID-19 patients), residents of nursing homes, and prisoners may resume.

---Phase 3 – July 16-30:
All international commercial flights may resume and the government will resume flights and transportation by boat between the islands of Príncipe and São Tomé.
Markets may operate from Monday to Saturday between 5:00 am and 5:00 pm.
Gyms and similar enterprises may reopen.

",20200622,Nationals of São Tomé and Príncipe and foreign residents in the country will be subject to obligatory quarantine on return.,"COVID-19 negative certification required for entering the country

The São Toméan government has indicated that passengers arriving in São Tomé must provide proof that they tested negative for COVID-19 with a polymerase chain reaction (PCR) test taken three days prior to departure. Passengers who are symptomatic upon arrival (e.g., have a temperature above 38 degrees) will be subject to a rapid test for COVID-19.",83
Saudi Arabia,SAU,44.547567,24.125926,17.07.2020,"[https://www.gov.uk/foreign-travel-advice/saudi-arabia]
[https://sa.usembassy.gov/u-s-citizen-services/covid-19-information/]
[https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening]","Government to lift nationwide curfew from 21 June; international flights remain suspended (Reuters, 20.06.2020)

*****International restrictions:
 International flights and sea routes were suspended on 15 March. Restrictions have also been placed on some land border crossings.
There are currently no transit flights through Saudi Arabia.

*****Internal restrictions:
Authorities in Saudi Arabia announced the full lifting of the nationwide curfew and the resumption of all economic and commercial activities from Sunday 21 June. There are no restrictions on travel to and from airports and ports. Commercial flights are now operating to and from Saudi Arabia on a limited number of routes. All modes of public transport (taxis, buses, trains and others) are permitted to operate at full capacity. The Saudi authorities have announced that wearing a face mask in public places is mandatory. Preventative measures remain in force. The Saudi authorities will keep this plan under review depending on the progress of the virus. You should monitor announcements issued by the Saudi Ministry of Health [https://twitter.com/SaudiMOH] and Ministry of Interior [https://twitter.com/moisaudiarabia?lang=en] for any updates. The Saudi authorities may implement localised lockdowns in response to the detection of infection clusters. If you are subject to a localised lockdown, follow the instructions of the authorities.
Hotels and private rentals are open and available to book. Hygiene measures are in place, including temperature checks on entry and hand sanitiser in public spaces. Cafes, restaurants, and places of worship are permitted to operate. Many public places have hygiene measures in place, including taking a temperature check and sanitising hands upon entry. Wearing a face mask in public places is mandatory. All gatherings must be limited to no more than 50 people.


*****Relaxation to restrictions:
Saudi Arabia will lift a nationwide curfew and resume all economic and commercial activities as of Sunday 21 June morning.(Reuters, 20.06.2020) ",20200717,"Travelers arriving from outside Saudi Arabia, including Saudi citizens and residents, will be placed in health isolation for 14 days following their arrival at the Ministry of Health quarantine facilities.","COVID-19 negative certification is required.
On arrival in Saudi Arabia, you must provide your contact details and travel information. All travellers are required to provide proof of having taken a coronavirus PCR test that is negative within 48 hours of departure. All travellers will have their temperature checked, are tested on arrival in Saudi Arabia. Testing is not available at the airport or sea ports at departure. Passengers travelling from Saudi Arabia, who require a test for the country they are travelling to, should arrange privately for a test through their existing medical providers",84
Scarborough Reef,xSR,117.780897,15.110537,,,,,,,85
Senegal,SEN,-14.446465,14.366687,23.07.2020,"[https://www.gov.uk/foreign-travel-advice/senegal]
[https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening]
[https://sn.usembassy.gov/covid-19-information/]","Airspace reopens with restrictions (The Point, 15.07.2020)

*****International Restrictions:
From 15 July, borders re-opened for international flights, though land and sea borders remain closed and the majority of international airlines have resumed commercial routes.The government of Senegal has said airlines are not allowed to carry foreign nationals from countries who have put in place travel restrictions for Senegal unless they are ordinarily resident in Senegal, diplomats, military, health professionals and other specific professional categories. Despite this, some airlines are only allowing foreign nationals with proof of residency in Senegal to travel. It is important to note that some airlines only accept a full residency card, and not a ‘recipice’, although the government of Senegal have confirmed that a ‘recipice’ is proof of residency. You should check with your airline before travelling.To enter Senegal, you must provide a negative test dated no more than 7 days earlier, issued in the country where you started your trip and authorised by that country or a recognised health organisation. If this is not possible, you will need to declare that you have no symptoms and accept having a test done on arrival, if deemed necessary. This would be at your cost. If you have symptoms of COVID-19 or test positive, you will be taken into Senegalese health care. f you are entering or leaving Senegal, you can pay for a COVID-19 test, at a cost of 40,000 CFA, at the following locations: L’Institut Pasteur de Dakar, 
L’IRESSEF (Institut de Recherche en Sante , de Surveillance Epidemiologique et de Formation. Le Laboratoire de Bacteriologie-Virologie, Hopital Aristide le Dantec, Le Laboratoire de l’Hopital militarie de Ouakam,.

*****Internal restrictions: 
There is no restriction on travel between regions, and authorisation is not needed to travel between regions. Internal flights have also restarted.Masks must be worn at all times in public areas and when travelling, including in a private car if there are two or more people in the car. The national state of emergency ended on 30 June [https://www.sec.gouv.sn/actualit%C3%A9/message-de-sem-le-pr%C3%A9sident-de-la-r%C3%A9publique-macky-sall-d%C3%A9claration-d%E2%80%99%C3%A9tat-d%E2%80%99urgence-dans]. The curfew no longer applies. Hotels are open. Religious sites are open. Since 5 June, restaurants and gyms have been free to open to visitors, but social distancing must be respected. Masks must be worn in all public areas. See the Ministry of Health website [http://www.sante.gouv.sn/] for further information on the Senegalese government response.",20200723,Arriving travelers are tested for COVID-19 upon arrival at the airport. Individuals who test positive may be required to isolate in a facility designated by the Government of Senegal.  ,"COVID-19 negative certification is required.                                                                                                                                                                                                      
To enter Senegal, you must provide a negative test dated no more than 7 days earlier, issued in the country where you started your trip and authorised by that country or a recognised health organisation. If this is not possible, you will need to declare that you have no symptoms and accept having a test done on arrival, if deemed necessary. This would be at your cost. If you have symptoms of COVID-19 or test positive, you will be taken into Senegalese health care.",86
Senkaku Islands,xSK,123.475678,25.745757,,,,,,,87
Serbia,SRB,20.803944,44.032994,09.07.2020,"[https://rs.usembassy.gov/covid-19-information/]
[https://www.osac.gov/Content/Report/adcc91bd-9754-4a47-8a42-1852cc2b095f]
[https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening]
[https://www.gov.uk/foreign-travel-advice/serbia]","Dutch government closes border to travelers from Montenegro, Serbia (Reuters, 08.07.2020) Serbia to reintroduce virus lockdown after new case spike; clashes in Belgrade (AP, 07.07.2020)

*****International restrictions:
There are commercial flight options to and from Serbia though schedules are subject to change at short notice. Border crossings are open, subject to entry requirements in neighbouring countries. 
There are currently no restrictions on entry to Serbia for foreigners or Serbian citizens. However, travelers should be prepared for restrictions to change with little or no advance notice. Visit the website of the Government of Serbia [https://www.srbija.gov.rs/] for additional information.
It is no longer necessary to have a negative PCR test or special permit to enter Serbia.  The government of Serbia also abolished self-isolation requirements upon entry.  Travelers should be prepared for restrictions to change with little or no advance notice.Visit the website of the Government of Serbia for additional information on these measures [https://www.srbija.gov.rs/].

*****Internal restrictions:
There are nationwide rules in place restricting movement and limiting activity. Protective face masks must be worn on public transport and are recommended for use in all indoor public spaces. Social distancing is encouraged everywhere. In Belgrade, where an emergency situation has been declared, businesses including bars and restaurants are not allowed to operate between 9pm and 6am. Those with outdoor spaces may stay open until 11pm. In all indoor public spaces it is mandatory to wear a protective face mask and maintain physical distance of at least 1.5m. Failure to wear a mask when required will incur a fine. Indoor and outdoor gatherings are limited to 10 people. Emergency situations related to the growth of COVID-19 infection have also been declared in over 20 municipalities across Serbia and the rules in these towns may be much more strict. Additional rules and penalties vary in different towns and cities, and rules can change rapidly, so you should follow the latest local guidance - check news outlets regularly for up to date information. Further restrictions may be introduced, both nationwide and locally, including at short notice. Infringements of these procedures may result in fines and/or a prison sentence.",20200709,The government of Serbia also abolished self-isolation requirements upon entry.  Travelers should be prepared for restrictions to change with little or no advance notice.,COVID-19 negative certification not required / not known,88
Seychelles,SYC,55.467266,-4.678402,13.07.2020,"[https://www.gov.uk/foreign-travel-advice/seychelles/entry-requirements]
[https://mu.usembassy.gov/covid-19-seychelles/]
[https://www.osac.gov/Content/Browse/Report?subContentTypes=Alerts%2CTravel%20Advisories]","Passenger flights to resume on 1 August (Business Ghana, 27.06.2020)

*****International restrictions:
Commercial flights are expected to resume from 1 August. To enter Seychelles, passengers must provide proof of a negative COVID-19 test performed within the 48 hours prior to boarding your flight. The Department of Health in Seychelles has published a list of originating countries considered low to medium risk. Travellers originating in countries that are considered high risk will not be permitted entry until further notice. You should check Department of Health public information and contact your airline if you intend to travel to Seychelles. Cruise ships from any country worldwide will not be permitted to berth in Seychelles until further notice. Seychelles International Airport may allow private jets and commercial charter flights to land if they are carrying passengers who will then be transferred to authorised yachts, or to specifically authorised tourist facilities. All passengers must have proof of a negative coronavirus test performed in the 48 hours prior to boarding. You should contact your airline and the Seychelles Department of Health to understand when and if you will be permitted entry to Seychelles. Permission for yachts to enter Seychelles waters may be granted by the Public Health Commissioner. Permission for crew to disembark will not be granted until the vessel has spent at least 14 days at sea. If you intend to enter Seychelles waters and if you wish to disembark from a vessel, you are required to contact the Seychelles Department of Health before attempting to do so.
All passengers will be temperature checked at all ports of arrival. If symptoms of COVID-19 are found to be present, tests will be conducted. Those found to be positive will be quarantined and re-checked.
Any passengers arriving in Seychelles will be subject to a 14 day mandatory isolation or quarantine. All entry to the country must be approved by the Public Health Commissioner.

*****Internal restrictions:
Inter-island public transport has resumed with revised timetables and guidelines for passengers. If you intend to travel between islands, you should consult the relevant ferry and airline service schedules. People should observe social distancing at all times and practice good hygiene. Social distancing is enforced on public transport. Masks are mandatory on internal flights. Some hotels are open across Seychelles. If you have made a booking, you should make contact with your tour operator or hotel proprietor before travelling to Seychelles. Indoor seated public shows; conferences and meetings; bars; casinos; sports competitions (without spectators); gyms and fitness facilities; cinemas; and marine leisure crafts are permitted. All organisers of these events must receive permission from the Department of Health in Seychelles. Beach activities involving family members from the same household are permitted. However, beach parties are not permitted. Restrictions are enforceable by law and can change at short notice. You should consult the Department of Health in Seychelles for further information and monitor local media for the latest developments.",20200713,"Any passengers arriving in Seychelles will be subject to a two week mandatory isolation or quarantine. All entry to the country must be approved by the Public Health Commissioner.
Seychelles has three quarantine locations the Military Academy at Perseverance (a 10-minute drive from the capital Victoria), the Maison de Football at Roche Caiman, and the Berjaya Hotel at Beau Vallon.","COVID-19 negative certification required for entering the country

To enter Seychelles, passengers must provide proof of a negative COVID-19 test performed within the 48 hours prior to boarding your flight.",89
Sierra Leone,SLE,-11.779615,8.569795,21.07.2020,"[https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening]
[https://www.gov.uk/foreign-travel-advice/sierra-leone]
[https://sl.usembassy.gov/covid-19-information/]
[https://www.osac.gov]","Sierra Leone's International Airport reopens to commercial flights (All Africa, 22.07.2020)

*****International restrictions: 
Commercial flights to and from Sierra Leone remain very limited. Freetown Lungi International Airport re-opens on 22 July and limited commercial options will be available to enter Sierra Leone. All land borders remain closed. If you intend to travel to Sierra Leone, you must obtain authorisation from the Government of Sierra Leone through the portal [www.travel.gov.sl] before you travel. To get authorisation you must have the following: proof of a negative PCR COVID-19 test issued no later than 72 hours before departure; a pre-departure public health passenger locator form; and proof of payment for on arrival COVID-19 tests paid for through the portal.

*****Internal restrictions:
Hotels are open. Large public gatherings of over 100 people (e.g. concerts, sporting events) are prohibited. Places of worship, churches and mosques have re-opened for worship. People are strongly advised to wash their hands, use hand sanitiser and avoid shaking-hands. People are advised to keep to strict social distancing. There is a curfew in place. You must stay in your accommodation between 11pm and 5am local time.",20200721,"If you think you have COVID-19 symptoms you should call the Government of Sierra Leone emergency line on 117. Treatment for coronavirus cases is carried out at Government of Sierra Leone facilities. Further information visit the Ministry of Health website [https://mohs.gov.sl/].
If you test positive for the RDT test, you’ll be required to isolate at a hotel in Lungi at your own expense while you wait for the result of your PCR test. The PCR result supersedes the RDT result. If you test positive for the PCR test result, you’ll be contacted by Sierra Leonean health authorities and taken to a state treatment centre. Passengers sitting in close proximity to a positive case on the flight will be treated as a primary contact and be required to self-isolate until you return a negative PCR COVID-19 test. Social distancing and the use of facemasks is mandatory at Freetown Lungi International airport.","COVID-19 negative certification is required to enter the country.
On arrival at Freetown Lungi International airport, all passengers are required to have both a COVID-19 PCR and RDT test. If you test negative for the RDT test, you’ll be allowed to leave the airport and to travel to your final destination, where you must observe public health protocols while you wait for the result of your PCR test (which is expected to take no more than 48 hours).
Before departure from Sierra Leone, you’ll need to pay for and get a negative PCR COVID-19 test within 72 hours of your departure through the portal: [www.travel.gov.sl]. Certificates confirming the test result will be emailed to you and copies made available for you to collect in person at the airport. You’ll need to provide this certificate confirming your test result at check-in. If you test positive, you’ll not be allowed to travel and you’ll need to follow public health protocols for isolation and contact tracing.
You are exempt from the COVID-19 test on departure if you arrived in Sierra Leone fewer than 5 days before departing. Children under two years of age are also exempt.",90
Singapore,SGP,103.810539,1.357382,17.07.2020,"[https://www.gov.uk/foreign-travel-advice/singapore]
[https://sg.usembassy.gov/u-s-citizen-services/covid-19-information/]
[https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening]","Singapore will gradually reopen its borders with safeguards in place to allow Singaporeans to conduct essential activities abroad and for foreigners to enter and transit through the country. (CNA, 19.05.2020) 

*****International restrictions:
Singapore is currently in ‘Phase Two’ of its response to Covid-19. Read the Singapore Government article on the phased approach to resuming activities safely for more information [https://www.gov.sg/article/ending-circuit-breaker-phased-approach-to-resuming-activities-safely].
Those who do not comply with these measures will be fined. Repeat offenders will face further fines and/or prosecution. Be aware that restrictions and penalties are subject to change at short notice.Short term visitors from anywhere in the world are not able to enter Singapore. Singapore’s Changi Airport has allowed transit to authorised airlines from 2 June but to date transit is only possible in certain circumstances. Check with your airline before undertaking a journey via Singapore. 
If you need to visit Singapore in extenuating circumstances, you should make a request to the Singapore government by submitting a Form 14 (please copy and paste link into your browser): https://www.ica.gov.sg/docs/default-source/ica/forms/form14.pdf to the Immigration and Checkpoints Authority and wait for a response before attempting to travel.
All Long-Term Pass holders, as well as those who have been granted IPA for LTVP, who are planning to enter or return to Singapore must obtain the Immigration & Checkpoints Authority permission before they commence their journey to Singapore. They can do so by submitting their application for entry to ICA_nCoV_request@ica.gov.sg.
All work pass holders must comply with all Singapore government regulations or face their passes being revoked and/or fines/jail.
The Singapore Ministry of Manpower will only allow work pass holders and/or their dependents to enter Singapore if they have obtained prior approval of the Ministry. Employers of work pass holders are required to obtain approval from the Ministry before pass holders travel to Singapore. Approval may be subject to conditions such as obtaining a doctor’s certificate before flying.
Any work pass holders or dependents who are granted permission to enter Singapore will be issued with a 14-day Stay at Home Notice (SHN). Further details can be found on the Ministry of Manpower website [https://www.mom.gov.sg/covid-19]. Work pass holders will be refused entry or risk deportation if they do not comply with this requirement. They also risk having their work pass revoked.
Singapore’s Changi Airport has allowed transit to authorised airlines from 2 June but to date transit is only possible in certain circumstances.

*****Internal restrictions:
The wearing of facemasks is compulsory for everyone when outside of their place of residence, except children under 2, when eating or when engaged in strenuous exercise. Most shops, services and eateries have reopened with social distancing measures in place. No alcohol will be available for purchase in restaurants after 10:30pm. You must record visits to any shops, services etc. through a ‘Safe Entry’ phone app or by signing in at the entrance. Up to 5 people are allowed to gather together outside the home. Households can receive up to 5 visitors at one time. A distance of 1 metre should be maintained between people, except when this is not possible due to space constraints e.g. in a lift or on public transport. Speaking is prohibited on public transport.",20200717,"Everyone granted permission to enter Singapore will be issued with a 14-day Stay at Home Notice (SHN) which must be served at a government designated hotel and costs $2,000 (unless you have spent 14 days or more before arrival in Australia, Brunei, Mainland China, Germany, Hong Kong, Japan, Macau, New Zealand, South Korea, Taiwan or Vietnam. If you meet this criteria, you will be permitted to carry out 14 days quarantine at your place of residence in Singapore, if you have one). In addition to quarantine fees, all arrivals must pay for a Covid-19 test which will be conducted before the 14 day quarantine period ends. Whilst you are serving your 14 days quarantine you will not be allowed to leave your room. Smoking may not be allowed in the facilities. The 14 day period cannot be reduced, even if you wish to leave Singapore. Failure to comply carries a fine and a jail term of up to six months. More details can be found on the Singapore government website.
Permanent Residents and approved work pass holders with permission to enter Singapore must submit an online health declaration [https://icaeservices.ica.gov.sg/sgarrivalcard] in advance of their arrival into Singapore. Otherwise it will need to be completed upon entry and may result in delays to immigration clearance.",COVID-19 negative certification is required for entering the country,91
Sint Eustatius,ANT,-62.976086,17.490469,29.06.2020,"[https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening]
[https://cw.usconsulate.gov/news-events/covid-19-information/]
[https://www.gov.uk/foreign-travel-advice/bonaire-st-eustatius-saba]","*****International Restrictions:
KLM flights between Amsterdam and Bonaire will recommence on 05JUL20.
The Venezuelan authorities have closed the borders with Aruba, Bonaire and Curaçao. There is currently no air or sea traffic between Bonaire and Venezuela. Passengers traveling from locations with widespread sustained transmission of COVID-19 must ensure they isolate themselves (in self-quarantine) for 14 days upon arrival.

*****Internal Restrictions:
Updates can be found here: https://english.rijksdienstcn.com/covid-19. https://www.facebook.com/euxgov.",20200629,Passengers traveling from locations with widespread sustained transmission of COVID-19 must ensure they isolate themselves (in self-quarantine) for 14 days upon arrival.,COVID-19 negative certification not required / not known,92
